instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C126_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C126_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2349038210013532,True,3,385.17195526518344,
C126_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C126_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.000631693001196254,True,3,402.404646818224,
C127_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C127_C10x_n.txt,10,Clustered,ALNS,1,ok,0.34839637800178025,True,3,505.8612179382615,
C127_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C127_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0009400440030731261,True,4,600.5924648800333,
C128_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C128_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3299785410017648,True,3,375.5713638906932,
C128_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C128_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0007130419980967417,True,3,378.4731493960152,
C129_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C129_C10x_n.txt,10,Clustered,ALNS,1,ok,0.26911084299717913,True,4,586.840827766158,
C129_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C129_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0016077959990070667,True,4,614.3780930758898,
C130_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C130_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3279626850016939,True,3,643.7560230757068,
C130_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C130_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.00285195600008592,True,5,762.8472056520342,
C131_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C131_C10x_n.txt,10,Clustered,ALNS,1,ok,0.37644223700044677,True,3,526.0447231887664,
C131_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C131_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.001650225000048522,True,3,560.6563068545821,
C132_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C132_C10x_n.txt,10,Clustered,ALNS,1,ok,0.512672921999183,True,3,591.6044395647687,
C132_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C132_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0015216909996524919,True,4,608.8708051742076,
C133_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C133_C10x_n.txt,10,Clustered,ALNS,1,ok,0.30336834199988516,True,5,763.6790508540598,
C133_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C133_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0052819860029558185,True,5,763.6790508540598,
C134_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C134_C10x_n.txt,10,Clustered,ALNS,1,ok,0.36791085000004387,True,3,620.3819578621554,
C134_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C134_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0019828469994536135,True,4,687.4055638910046,
C135_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C135_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3683448759984458,True,3,548.0018330107437,
C135_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C135_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.00139066600240767,True,3,614.5574218322864,
C136_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C136_C10x_n.txt,10,Clustered,ALNS,1,ok,0.43725157600056264,True,2,420.8279402652025,
